r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.2,5e-08,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
0.4,1,FGF-23,202,0.0112464736757081,0.0408664719028332,-0.0688503394290631,0.0913432867804793,0.783162199563567,IVW
0.4,1,FGF-23,202,-0.118434393220204,0.0370054508656353,-0.190963744148515,-0.0459050422918919,0.00137209339927725,PCA_0.90
0.4,1,FGF-23,202,-0.164343129512891,0.0267701301327445,-0.21681162043452,-0.111874638591261,8.30171763390722e-10,PCA_0.99
0.4,1,FGF-23,202,-0.302761070858699,0.0280617365227719,-0.357761063786984,-0.247761077930414,0,MR_Egger
0.4,1,FGF-23,202,0.0102332462701742,0.000666058026755321,0.00892779652611998,0.0115386960142285,0,EggerInt
0.4,0.01,FGF-23,12,-0.157411705650571,0.0358093605932945,-0.227596762722836,-0.0872266485783054,1.10352487561517e-05,IVW
0.4,0.01,FGF-23,12,-0.169032114215524,0.0424367409867732,-0.252206598170854,-0.0858576302601936,6.80063881456864e-05,PCA_0.90
0.4,0.01,FGF-23,12,-0.163647333987902,0.0418107336404129,-0.245594866090308,-0.081699801885495,9.07785328272792e-05,PCA_0.99
0.4,0.01,FGF-23,12,-0.319635289885028,0.206900464518675,-0.725152748726238,0.0858821689561823,0.122376577863004,MR_Egger
0.4,0.01,FGF-23,12,0.00939607087780681,0.0113963884273461,-0.0129404399936207,0.0317325817492343,0.409668044078155,EggerInt
0.4,0.001,FGF-23,7,-0.174058521755358,0.0467896975817808,-0.265764643863169,-0.0823523996475468,0.000199208503461453,IVW
0.4,0.001,FGF-23,7,-0.188523718903901,0.0538161364475718,-0.294001408128235,-0.0830460296795666,0.000459863585210022,PCA_0.90
0.4,0.001,FGF-23,7,-0.178153208416982,0.0520001536273753,-0.280071636717187,-0.0762347801167764,0.000612510801609061,PCA_0.99
0.4,0.001,FGF-23,7,-0.407585655843442,0.330197714001713,-1.05476128306426,0.239589971377371,0.217065622544897,MR_Egger
0.4,0.001,FGF-23,7,0.0126607595527586,0.0169736321065869,-0.0206069480629845,0.0459284671685017,0.455723292111498,EggerInt
0.4,1e-04,FGF-23,5,-0.223691936712849,0.0574749799235194,-0.336340827375109,-0.111043046050588,9.94261313362025e-05,IVW
0.4,1e-04,FGF-23,5,-0.224791335054393,0.0661103015753285,-0.354365145149118,-0.0952175249596676,0.000673250798645212,PCA_0.90
0.4,1e-04,FGF-23,5,-0.233433040955987,0.0606960819018153,-0.352395175486238,-0.114470906425735,0.000120094767443974,PCA_0.99
0.4,1e-04,FGF-23,5,-0.383766725711751,0.544452740532586,-1.45087448843975,0.683341037016249,0.480893058822798,MR_Egger
0.4,1e-04,FGF-23,5,0.0110786155972495,0.036986988035367,-0.0614145488486837,0.0835717800431827,0.764537684661653,EggerInt
0.4,1e-05,FGF-23,3,-0.200727253465569,0.096828412524264,-0.390507454693313,-0.0109470522378242,0.038170401257343,IVW
0.4,1e-05,FGF-23,3,-0.19919733634078,0.0974315502021044,-0.390159665694811,-0.00823500698674939,0.040905664423087,PCA_0.90
0.4,1e-05,FGF-23,3,-0.19919733634078,0.0974315502021044,-0.390159665694811,-0.00823500698674939,0.040905664423087,PCA_0.99
0.4,1e-05,FGF-23,3,-0.0839614161038055,1.34387960185452,-2.71791703529668,2.54999420308907,0.95018306624641,MR_Egger
0.4,1e-05,FGF-23,3,-0.00879045316849197,0.099370678887884,-0.203553404908039,0.185972498571055,0.929510091969366,EggerInt
0.4,5e-08,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
0.6,1,FGF-23,277,0.0260874044880302,0.015225939815534,-0.00375488918119088,0.0559296981572514,0.0866476798410928,IVW
0.6,1,FGF-23,277,-0.148965666812942,0.0331056411077459,-0.213851531069233,-0.0840798025566518,6.80473651511362e-06,PCA_0.90
0.6,1,FGF-23,277,-0.143414753273649,0.0234485947981069,-0.189373154566012,-0.0974563519812865,9.58725794070431e-10,PCA_0.99
0.6,1,FGF-23,277,-2.77303193526481,,,,,MR_Egger
0.6,1,FGF-23,277,0.0896901796728442,,,,,EggerInt
0.6,0.01,FGF-23,17,-0.177992152050225,0.0415211423478546,-0.259372095648981,-0.096612208451469,1.81278729451395e-05,IVW
0.6,0.01,FGF-23,17,-0.163710430864942,0.0367149309844573,-0.235670373289352,-0.0917504884405322,8.23580550903034e-06,PCA_0.90
0.6,0.01,FGF-23,17,-0.152075351691898,0.0363629079335649,-0.223345341614831,-0.0808053617689652,2.88757788688742e-05,PCA_0.99
0.6,0.01,FGF-23,17,-0.172763534701335,0.0678896291608711,-0.305824762780423,-0.0397023066222477,0.010934953851848,MR_Egger
0.6,0.01,FGF-23,17,-0.00028307570282427,0.00315705936369931,-0.00647079835272986,0.00590464694708132,0.928553939556199,EggerInt
0.6,0.001,FGF-23,10,-0.163315356958179,0.049352448987296,-0.26004437952213,-0.066586334394229,0.000935749432885587,IVW
0.6,0.001,FGF-23,10,-0.179599312631004,0.0449473021927169,-0.267694406130967,-0.0915042191310407,6.44829179166727e-05,PCA_0.90
0.6,0.001,FGF-23,10,-0.188734156063306,0.0439381233886186,-0.274851295453275,-0.102617016673337,1.74336754298701e-05,PCA_0.99
0.6,0.001,FGF-23,10,-0.300836602488932,0.113392324134144,-0.523081473915147,-0.0785917310627173,0.00797657676193442,MR_Egger
0.6,0.001,FGF-23,10,0.00838346331758841,0.00638491240004708,-0.00413073503094706,0.0208976616661239,0.189179077862151,EggerInt
0.6,1e-04,FGF-23,9,-0.167509638580277,0.0501004161387643,-0.265704649822724,-0.0693146273378296,0.000827352572428479,IVW
0.6,1e-04,FGF-23,9,-0.18551004970306,0.0453707278012387,-0.274435042145858,-0.0965850572602618,4.33683920517762e-05,PCA_0.90
0.6,1e-04,FGF-23,9,-0.163866272000972,0.0403769989197502,-0.243003735687495,-0.0847288083144491,4.94087232253861e-05,PCA_0.99
0.6,1e-04,FGF-23,9,-0.311244852246695,0.113857377314331,-0.534401211156972,-0.0880884933364175,0.00626388701820191,MR_Egger
0.6,1e-04,FGF-23,9,0.00874487976560244,0.00639739139753263,-0.00379377696856788,0.0212835364997728,0.171642664050694,EggerInt
0.6,1e-05,FGF-23,6,-0.200851477858465,0.0607100806843061,-0.319841049498225,-0.0818619062187039,0.000938403640028273,IVW
0.6,1e-05,FGF-23,6,-0.175138889550777,0.0685548805587753,-0.309503986410421,-0.0407737926911319,0.0106271621936441,PCA_0.90
0.6,1e-05,FGF-23,6,-0.229199363110328,0.0607435330415212,-0.348254500165428,-0.110144226055227,0.000161147154645901,PCA_0.99
0.6,1e-05,FGF-23,6,0.149905898397126,0.236279685372046,-0.313193775210538,0.613005572004791,0.525792014330554,MR_Egger
0.6,1e-05,FGF-23,6,-0.024288334614919,0.0159553719310584,-0.0555602889597348,0.00698361972989677,0.127942217499095,EggerInt
0.6,5e-08,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
